CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LD50 (g/kg),Averaged LD50 (mol/kg),-log10(mol/kg)
12002538,Trimedlure,CC1CC(Cl)CCC1C(=O)OC(C)(C)C,232.751,4.556,0.019574566811743,1.7083078401691916
455196,4-(Trifluoromethyl)benzaldehyde,FC(F)(F)c1ccc(C=O)cc1,174.121,0.66,0.0037904675484289,2.421307217161473
4095458,"10,10'-oxybis[5,10-dihydro]phenarsazine",N1c2ccccc2[As](O[As]3c4ccccc4Nc5ccccc35)c6ccccc16,500.26500000000016,0.083,0.0001659120666046,3.780122027060237
60515,"O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl]phosphorodithioic acid ester",CNC(=O)CS[P](=S)(OC)OC,229.263,0.219,0.0009552348176548,3.0593193212509817
445294,2-Fluorobenzoic acid,OC(=O)c1ccccc1F,140.11299999999997,4.0,0.0285483859456296,1.544418440648321
367124,2-Fluorophenol,Oc1ccccc1F,112.103,0.45,0.004014165544187,2.396404721174779
1582098,"2,6-Dinitro-N,N-dipropyl-4-(trifluoromethyl)benzenamine",CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,335.28200000000004,5.19,0.0154795068032283,2.040461951786126
90153,1-Naphthalenol,Oc1cccc2ccccc12,144.17299999999997,2.3,0.0159530563975224,1.7971560994772484
447610,2-(Trifluoromethyl)benzaldehyde,FC(F)(F)c1ccccc1C=O,174.12099999999998,3.6,0.0206752775368852,1.6845486519360542
352705,1-Fluoro-3-methylbenzene,Cc1cccc(F)c1,110.131,5.0,0.0454004776130244,1.3429395783409146
149304,2(3H)-Benzothiazolethione,S=C1Nc2ccccc2S1,167.25799999999998,2.696,0.0161188104604862,1.827831582174409
2008391,"2-(2,4-Dichlorophenoxy)acetic acid compd. with N-methylmethanamine (1:1)",CNC.OC(=O)COc1ccc(Cl)cc1Cl,266.124,0.5545,0.0020836151568441,2.6841406779998542
584792,"2,2-Dimethyl-3-(2-methyl-1-propenyl)cyclopropanecarboxylic acid 2-methyl-4-oxo-3-(2-propenyl)-2-cyclopenten-1-yl ester",CC(C)=CC1C(C(=O)OC2CC(=O)C(=C2C)CC=C)C1(C)C,302.41400000000004,0.34,0.0011242865740342,2.949122975547521
298000,"O,O-Dimethyl O-(4-nitrophenyl) ester phosphorothioic acid",CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O,263.211,0.0030375,1.154017119345316e-05,4.937885455680741
122145,"Phosphorothioic acid O,O-dimethyl O-(3-methyl-4-nitrophenyl)ester",CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O,277.238,0.2044375,0.0007374079310916,3.523146628063217
83794,"[2R-(2-alpha, 6a-alpha, 12a-alpha)]-1,2,12,12a-Tetrahydro-8,9-dimethoxy-2-(1-methylethenyl)-[1]-benzopyrano[3,4-b]furo[2,3-h][1]benzopyran-6(6aH)-one",COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C,394.42300000000023,0.0011355555555555,2.8790297613363184e-06,5.549086972979474
