CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LC50 (ug/org),Averaged LC50 (mol/org),-log10(mol/org),contains_metal
14816-18-3,"4-Ethoxy-7-phenyl-3,5-dioxa-6-aza-4-phosphaoct-6-ene-8-nitrile 4-sulfide",CCO[P](=S)(OCC)O\N=C(C#N)\c1ccccc1,298.304,0.305,1.0224468998069083e-09,2.990359237569687,False
41198-08-7,O-(4-Bromo-2-chlorophenyl) O-ethyl S-propyl ester phosphorothioic acid,CCCS[P](=O)(OCC)Oc1ccc(Br)cc1Cl,373.636,0.5982166666666666,1.6010680626777575e-09,2.7955902054841535,False
126833-17-8,"N-(2,3-Dichloro-4-hydroxyphenyl)-1-methylcyclohexanecarboxamide",CC1(CCCCC1)C(=O)Nc2ccc(O)c(Cl)c2Cl,302.201,50.1075,1.6580851817168042e-07,0.7803931619646984,False
12771-68-5,alpha-Cyclopropyl-alpha-(4-methoxyphenyl)-5-pyrimidinemethanol,COc1ccc(cc1)C(O)(C2CC2)c3cncnc3,256.30499999999995,100.0,3.9016016074598625e-07,0.4087570784871266,False
134-20-3,"2-Aminobenzoic acid, Methyl ester",COC(=O)c1ccccc1N,151.16499999999996,25.0,1.653821982601793e-07,0.7815112397257364,False
76-06-2,Trichloronitromethane,[O-][N+](=O)C(Cl)(Cl)Cl,164.37500000000003,100.0,6.083650190114067e-07,0.2158357658338331,False
52-68-6,"P-(2,2,2-Trichloro-1-hydroxyethyl)phosphonic acid dimethyl ester",CO[P](=O)(OC)C(O)C(Cl)(Cl)Cl,257.437,18.49775,7.185350202185388e-08,1.1435520602130853,False
5989-27-5,(4R)-1-Methyl-4-(1-methylethenyl)cyclohexene,CC(=C)[C@@H]1CCC(=CC1)C,136.238,1695.0,1.2441462734332565e-05,-1.0948714430641462,False
116475-12-8,"Cyclopropanecarboxylic acid, 3-(2,2-Dichloroethenyl)-2,2-dimethylcyano(4-fluoro-3-phenoxyphenyl)methyl ester mixt. with 1-[(6-chloro-3-pyridinyl)methyl]-N-nitro-2-imidizolidinimide",CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2.[O-][N+](=O)NC4=NCCN4Cc5ccc(Cl)nc5,689.9589999999998,0.205,2.9711910417865416e-10,3.527069423010776,False
60-51-5,"O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl]phosphorodithioic acid ester",CNC(=O)CS[P](=S)(OC)OC,229.263,0.115,5.01607324339296e-10,3.2996361306763107,False
60-57-1,"(1aR,2R,2aS,3S,6R,6aR,7S,7aS)-rel-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxirene ",ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,380.913,0.0372,9.766009561238392e-11,4.01028285486338,False
951659-40-8,"4-[[(6-Chloro-3-pyridinyl)methyl](2,2-difluoroethyl)amino]-2(5H)-furanone",FC(F)CN(Cc1ccc(Cl)nc1)C2=CC(=O)OC2,288.6810000000001,3.6485,1.2638517948877825e-08,1.8983038504493044,False
115086-54-9,1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-1H-imidazol-2-amine,[O-][N+](=O)Nc1nccn1Cc2ccc(Cl)nc2,253.649,0.029,1.1433122149111567e-10,3.9418351565709937,False
